确认状态,告警等级,厂家,网元类型,网元名称,告警名称,定位信息,告警次数,首次告警时间,最新告警时间,告警确认时间,告警历时,清除状态,操作
,警告,CTG,dUPF,10.230.4.249,,"upu, 10",1,2026-04-27 06:19:27,2026-04-27 06:19:27,,0天0时7分27秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"ddb, 3",1,2026-04-27 06:18:45,2026-04-27 06:18:45,,0天0时8分9秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"db-operator, 1",1,2026-04-27 06:18:28,2026-04-27 06:18:28,,0天0时8分26秒,未清除,
,严重,CTG,dUPF,10.230.4.249,证书缺失,未配置证书或者证书无效,1,2026-04-26 10:06:48,2026-04-26 10:06:48,,0天20时20分6秒,未清除,
,严重,CTG,dUPF,10.230.4.249,证书有效期不足24小时,license授权设备名称:dupf-oam-788685b596-5fv62,1,2026-04-25 10:06:47,2026-04-25 10:06:47,,1天20时20分7秒,未清除,
,严重,CTG,dUPF,10.230.4.249,N4链路PFCP心跳检测超时,"pfcp 心跳检测超时,对端节点ip:240e:172:30::5001",1,2026-04-24 06:18:46,2026-04-24 06:18:46,,3天0时8分8秒,未清除,
,重要,CTG,dUPF,10.230.4.249,,dupf-ddb-shd-0-2,1,2026-04-22 02:30:15,2026-04-22 02:30:15,,5天3时56分39秒,未清除,
,重要,CTG,dUPF,10.230.4.249,,dupf-ddb-shd-0-0,1,2026-04-22 02:13:01,2026-04-22 02:13:01,,5天4时13分53秒,未清除,
,重要,CTG,dUPF,10.230.4.249,,dupf-sdb-2,1,2026-04-21 12:18:02,2026-04-21 12:18:02,,5天18时8分52秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"upc, 2",1,2026-04-21 12:04:21,2026-04-21 12:04:21,,5天18时22分33秒,未清除,
,重要,CTG,dUPF,10.230.4.249,,dupf-sdb-0,1,2026-04-21 12:03:17,2026-04-21 12:03:17,,5天18时23分37秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"upc, 4",1,2026-04-21 11:58:54,2026-04-21 11:58:54,,5天18时28分0秒,未清除,
,重要,CTG,dUPF,10.230.4.249,,dupf-sdb-1,1,2026-04-21 11:58:54,2026-04-21 11:58:54,,5天18时28分0秒,未清除,
,重要,CTG,dUPF,10.230.4.249,,dupf-ddb-shd-0-1,1,2026-04-21 11:52:05,2026-04-21 11:52:05,,5天18时34分49秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"upc, 3",1,2026-04-21 11:15:02,2026-04-21 11:15:02,,5天19时11分52秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"upc, 6",1,2026-04-21 10:07:18,2026-04-21 10:07:18,,5天20时19分36秒,未清除,
,警告,CTG,dUPF,10.230.4.249,,"upc, 8",1,2026-04-21 09:59:34,2026-04-21 09:59:34,,5天20时27分20秒,未清除,
